Dina, Soul Steeper — identity BG — 105 candidates (collection 730 names, reserved 226)
inc%  lift  mv  rank   $     mk  name | type | oracle
 56.6 +1.6   4   3409   0.2      Mortality Spear | Inst | This spell costs {2} less to cast if you gained life this turn. Destroy target nonland permanent.
 54.6 +1.0   0    779   0.1      Jungle Hollow | Land | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {B} or {G}.
 51.0 +0.9   1   1151   0.5      Pest Infestation | Sorc | Destroy up to X target artifacts and/or enchantments. Create twice X 1/1 black and green Pest creature tokens 
 48.2 +0.9   7   1492   1.4      Beledros Witherbloom | L.Cr — Elder Dragon | Flying At the beginning of each upkeep, create a 1/1 black and green Pest creature token with "When this token
 48.0 +0.2   3     20   0.4      2x Cultivate | Sorc | Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped an
 42.3 +2.4   3    494  12.1      Vito, Thorn of the Dusk Rose | L.Cr — Vampire Cleric | Whenever you gain life, target opponent loses that much life. {3}{B}{B}: Creatures you control gain lifelink u
 40.9 +2.9   3   1350   0.3      Pristine Talisman | Art | {T}: Add {C}. You gain 1 life.
 39.9 +2.3   5    504   6.7      Sanguine Bond | Ench | Whenever you gain life, target opponent loses that much life.
 38.6 +1.9   3   4139   0.3      Veinwitch Coven | Cr — Vampire Warlock | Menace Whenever you gain life, you may pay {B}. If you do, return target creature card from your graveyard to 
 37.5 +1.3   3   3871   0.4      Blight Mound | Ench | Attacking Pests you control get +1/+0 and have menace. Whenever a nontoken creature you control dies, create a
 37.3 +0.4   4    577   0.4      Culling Ritual | Sorc | Destroy each nonland permanent with mana value 2 or less. Add {B} or {G} for each permanent destroyed this way
 35.8 +0.1   0    332   0.3      Golgari Rot Farm | Land | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {B}{G}
 35.8 +1.6   5   2613   0.4      Witch of the Moors | Cr — Human Warlock | Deathtouch At the beginning of your end step, if you gained life this turn, each opponent sacrifices a creatur
 33.9 +0.2   2     26   0.4      Rampant Growth | Sorc | Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
 33.0 +2.7   0   1579   1.5      Radiant Fountain | Land | When this land enters, you gain 2 life. {T}: Add {C}.
 28.2 +2.7   0   7404   0.6      Sapseep Forest | Land — Forest | ({T}: Add {G}.) This land enters tapped. {G}, {T}: You gain 1 life. Activate only if you control two or more g
 27.7 +2.9   4   1127   4.3      Well of Lost Dreams | Art | Whenever you gain life, you may pay {X}, where X is less than or equal to the amount of life you gained. If yo
 26.2 +1.1   2   4805   0.3      Deadly Brew | Sorc | Each player sacrifices a creature or planeswalker of their choice. If you sacrificed a permanent this way, you
 25.9 +1.6   2    232   3.9      Sign in Blood | Sorc | Target player draws two cards and loses 2 life.
 25.7 +1.9   3   8977   0.3      Trudge Garden | Ench | Whenever you gain life, you may pay {2}. If you do, create a 4/4 green Fungus Beast creature token with trampl
 24.5 +0.6   2   1157   0.3      Plumb the Forbidden | Inst | As an additional cost to cast this spell, you may sacrifice one or more creatures. When you do, copy this spel
