# Owned Arena pool for The Cabbage Merchant (mono-G identity, brawl-legal). Collection = DB export 2026-07-02 UNION snapshot verify-2026-09-10/arena-collection-0911.txt (2026-09-11) UNION the current deck decks/brawl/cabbage-merchant-current.txt (2026-09-18). Corpus = 2001 Cabbage Merchant decks (VPS, 2026-09-14).
# inc% = share of those decks running the card | lift = corpus lift vs baseline (higher = more commander-specific) | q = copies owned
# legality: legal = Brawl-legal per card DB | deck = in the current Arena Brawl deck (proven playable; DB may say otherwise) | side = in the current Arena sideboard pile (proven owned) | db:not_legal = owned but the card DB says not Brawl-legal (often stale for Arena-only additions; use only if you KNOW it is on Arena Brawl and flag it)
# inc% | lift | q | legality | name | cost | cmc | type | rarity | oracle

95.7 | 3.10 | 1 | deck | Peregrin Took | {2}{G} | 3 | Legendary Creature — Halfling Citizen | uncommon | If one or more tokens would be created under your control, those tokens plus an additional Food token are created instead. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Sacrifice three Foods: Draw a card.
95.2 | 0.00 | 1 | deck | Forest |  | 0 | Basic Land — Forest | common | ({T}: Add {G}.)
93.8 | 3.37 | 1 | deck | Academy Manufactor | {3} | 3 | Artifact Creature — Assembly-Worker | rare | If you would create a Clue, Food, or Treasure token, instead create one of each.
88.3 | 3.11 | 1 | side | Gilded Goose | {G} | 1 | Creature — Bird | rare | Flying When this creature enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") {1}{G}, {T}: Create a Food token. {T}, Sacrifice a Food: Add one mana of any color.
83.3 | 2.59 | 1 | deck | Jaheira, Friend of the Forest | {2}{G} | 3 | Legendary Creature — Human Elf Druid | rare | Tokens you control have "{T}: Add {G}." Choose a Background (You can have a Background as a second commander.)
68.4 | 3.75 | 1 | deck | Sarinth Steelseeker | {1}{G} | 2 | Creature — Human Artificer Scout | uncommon | Whenever an artifact you control enters, look at the top card of your library. If it's a land card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard.
68.4 | 2.17 | 1 | deck | Second Harvest | {2}{G}{G} | 4 | Instant | rare | For each token you control, create a token that's a copy of that permanent.
65.7 | 3.51 | 2 | deck | Night of the Sweets' Revenge | {3}{G} | 4 | Enchantment | uncommon | When this enchantment enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Foods you control have "{T}: Add {G}." {5}{G}{G}, Sacrifice this enchantment: Creatures you control get +X/+X until end of turn, where X is the number of Foods you control. Activate only as a sorcery.
64.2 | 0.30 | 1 | legal | Heroic Intervention | {1}{G} | 2 | Instant | rare | Permanents you control gain hexproof and indestructible until end of turn.
61.3 | 0.07 | 1 | legal | Beast Within | {2}{G} | 3 | Instant | uncommon | Destroy target permanent. Its controller creates a 3/3 green Beast creature token.
57.1 | 0.05 | 4 | side | Llanowar Elves | {G} | 1 | Creature — Elf Druid | common | {T}: Add {G}.
