# FULL owned pool: every B/R-identity, Brawl-legal card in the Arena collection (n=1506)
# Sorted by Kuja-corpus inclusion % (6,983 real Kuja decks), then EDHREC rank. incl=- means no corpus row.
# columns: NAME | COST | TYPE | incl | TAGS | oracle

Black Waltz No. 3 | {2}{B}{R} | Legendary Creature - Wizard | 90.5 | WIZ,CAST-TRIG,PING | Flying, deathtouch / Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.
Black Mage's Rod | {1}{B} | Artifact - Equipment | 89.7 | CAST-TRIG,PING | Job select / Equipped creature gets +1/+0, has "Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent," and is a Wizard in addition to its other types. / Equip
Circle of Power | {3}{B} | Sorcery | 89.6 | CAST-TRIG,PING | You draw two cards and you lose 2 life. Create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent." / Wizards you contr
Arcane Signet | {2} | Artifact | 88.9 |  | {T}: Add one mana of any color in your commander's color identity.
Command Tower |  | Land | 86.7 | LAND | {T}: Add one mana of any color in your commander's color identity.
Cornered by Black Mages | {1}{B}{B} | Sorcery | 86.7 | CAST-TRIG,PING | Target opponent sacrifices a creature of their choice. / Create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."
Coruscation Mage | {1}{R} | Creature - Otter Wizard | 83.6 | WIZ,CAST-TRIG,PING | Offspring {2} / Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.
Lindblum, Industrial Regency // Mage Siege | {2}{R} | Land - Town // Instant — Adventure | 79.8 | LAND,RITUAL,CAST-TRIG,PING | This land enters tapped. / {T}: Add {R}. / // / Create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."
Harmonic Prodigy | {1}{R} | Creature - Human Wizard | 79.1 | WIZ,TRIG2X | Prowess / If a triggered ability of a Shaman or another Wizard you control triggers, that ability triggers an additional time.
Mysidian Elder | {2}{R} | Creature - Human Wizard | 74.7 | WIZ,CAST-TRIG,PING | When this creature enters, create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."
Dark Ritual | {B} | Instant | 74.1 | RITUAL | Add {B}{B}{B}.
Queen Brahne | {2}{R} | Legendary Creature - Human Noble | 73.6 | CAST-TRIG,PING | Prowess / Whenever Queen Brahne attacks, create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."
Lightning Bolt | {R} | Instant | 68.1 | PING | Lightning Bolt deals 3 damage to any target.
Night's Whisper | {1}{B} | Sorcery | 66.5 |  | You draw two cards and lose 2 life.
Talisman of Indulgence | {2} | Artifact | 63.1 | MANA | {T}: Add {C}. / {T}: Add {B} or {R}. This artifact deals 1 damage to you.
Faithless Looting | {R} | Sorcery | 62.3 |  | Draw two cards, then discard two cards. / Flashback {2}{R}
Storm-Kiln Artist | {3}{R} | Creature - Dwarf Shaman | 61.9 | CAST-TRIG,TREAS | This creature gets +1/+0 for each artifact you control. / Magecraft — Whenever you cast or copy an instant or sorcery spell, create a Treasure token.
Guttersnipe | {2}{R} | Creature - Goblin Shaman | 59.4 | CAST-TRIG,PING | Whenever you cast an instant or sorcery spell, this creature deals 2 damage to each opponent.
Big Score | {3}{R} | Instant | 54.4 | TREAS | As an additional cost to cast this spell, discard a card. / Draw two cards and create two Treasure tokens.
Thrill of Possibility | {1}{R} | Instant | 53.1 |  | As an additional cost to cast this spell, discard a card. / Draw two cards.
Abrade | {1}{R} | Instant | 51.4 | RMVL | Choose one — / • Abrade deals 3 damage to target creature. / • Destroy target artifact.
Blood Crypt |  | Land - Swamp Mountain | 50.1 | LAND | / As this land enters, you may pay 2 life. If you don't, it enters tapped.
Rakdos Charm | {B}{R} | Instant | 47.6 | RMVL | Choose one — / • Exile target player's graveyard. / • Destroy target artifact. / • Each creature deals 1 damage to its controller.
Blasphemous Act | {8}{R} | Sorcery | 46.5 | RMVL | This spell costs {1} less to cast for each creature on the battlefield. / Blasphemous Act deals 13 damage to each creature.
Feed the Swarm | {1}{B} | Sorcery | 45.7 | RMVL | Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.
Artist's Talent | {1}{R} | Enchantment - Class | 45.7 | DMG2X,CHEAPER,CANTRIP,CAST-TRIG | / Whenever you cast a noncreature spell, you may discard a card. If you do, draw a card. / {2}{R}: Level 2 / Noncreature spells you cast cost {1} less to cast. / {2}{R}: Level 3 / If a sourc
Fiery Inscription | {2}{R} | Enchantment | 44.4 | CAST-TRIG,PING | When this enchantment enters, the Ring tempts you. / Whenever you cast an instant or sorcery spell, this enchantment deals 2 damage to each opponent.
Collective Inferno | {3}{R}{R} | Enchantment | 43.7 | DMG2X | Convoke / As this enchantment enters, choose a creature type. / Double all damage that sources you control of the chosen type would deal.
Deadly Dispute | {1}{B} | Instant | 43 | TREAS | As an additional cost to cast this spell, sacrifice an artifact or creature. / Draw two cards and create a Treasure token.
Light Up the Stage | {2}{R} | Sorcery | 42 |  | Spectacle {R} / Exile the top two cards of your library. Until the end of your next turn, you may play those cards.
Demand Answers | {1}{R} | Instant | 40.4 |  | As an additional cost to cast this spell, sacrifice an artifact or discard a card. / Draw two cards.
Boltwave | {R} | Sorcery | 40.1 | PING | Boltwave deals 3 damage to each opponent.
Seething Song | {2}{R} | Instant | 39.3 | RITUAL | Add {R}{R}{R}{R}{R}.
Roaming Throne | {4} | Artifact Creature - Golem | 37.1 | TRIG2X | Ward {2} / As this creature enters, choose a creature type. / This creature is the chosen type in addition to its other types. / If a triggered ability of another creature you control of the
Untimely Malfunction | {1}{R} | Instant | 36.8 | RMVL | Choose one — / • Destroy target artifact. / • Change the target of target spell or ability with a single target. / • One or two target creatures can't block this turn.
Laughing Mad | {2}{R} | Instant | 36.7 |  | As an additional cost to cast this spell, discard a card. / Draw two cards. / Flashback {3}{R}
Lightning Greaves | {2} | Artifact - Equipment | 36.5 |  | Equipped creature has haste and shroud. / Equip {0}
Jeska's Will | {2}{R} | Sorcery | 35.7 | RITUAL | Choose one. If you control a commander as you cast this spell, you may choose both instead. / • Add {R} for each card in target opponent's hand. / • Exile the top three cards of your library
Unexpected Windfall | {2}{R}{R} | Instant | 32.4 | TREAS | As an additional cost to cast this spell, discard a card. / Draw two cards and create two Treasure tokens.
Grab the Prize | {1}{R} | Sorcery | 31.5 | PING | As an additional cost to cast this spell, discard a card. / Draw two cards. If the discarded card wasn't a land card, Grab the Prize deals 2 damage to each opponent.
Mind Stone | {2} | Artifact | 30.8 | MANA,CANTRIP | {T}: Add {C}. / {1}, {T}, Sacrifice this artifact: Draw a card.
Firebrand Archer | {1}{R} | Creature - Human Archer | 29.7 | CAST-TRIG,PING | Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.
Return the Favor | {R}{R} | Instant | 29.1 | COPY | Spree / + {1} — Copy target instant spell, sorcery spell, activated ability, or triggered ability. You may choose new targets for the copy. / + {1} — Change the target of target spell or abi
Temple of Malice |  | Land | 27.8 | LAND | This land enters tapped. / When this land enters, scry 1. / {T}: Add {B} or {R}.
Swiftfoot Boots | {2} | Artifact - Equipment | 27.7 |  | Equipped creature has hexproof and haste. / Equip {1}
Midgar, City of Mako // Reactor Raid | {2}{B} | Land - Town // Sorcery — Adventure | 27.3 | LAND,RITUAL | This land enters tapped. / {T}: Add {B}. / // / You may sacrifice an artifact or creature. If you do, draw two cards.
Phyrexian Arena | {1}{B}{B} | Enchantment | 25.9 |  | At the beginning of your upkeep, you draw a card and you lose 1 life.
Dualcaster Mage | {1}{R}{R} | Creature - Human Wizard | 25.3 | WIZ,COPY | Flash / When this creature enters, copy target instant or sorcery spell. You may choose new targets for the copy.
Flashback | {R} | Instant | 24.2 |  | Target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost.
Overkill | {2}{B} | Instant | 23.7 |  | Target creature gets -0/-9999 until end of turn.
