# Owned PAPER pool for The Cabbage Merchant (mono-G identity, Commander-legal). Format = paper Commander, multiplayer (4-player pod, 40 life).
# Sources: deck = the physical deck decks/paper/decks/the-cabbage-merchant.txt | side = the operator's spare pile decks/brawl/cabbage-merchant-sidedeck.txt | open = decks/paper/open-cards.txt (owned paper cards not sleeved in Meren/Imotekh/Tazri/Ramos). Cards sleeved in those four decks are NOT available.
# Corpus = 2001 real Cabbage Merchant paper Commander decks (VPS, 2026-09-14): inc% = share running the card, lift = commander-specific strength (>2 strong). Multiplayer data, so it applies directly.
# db:not_legal after a source = the card DB doubts Commander legality; check before using. Basic Forest is unlimited and not listed.
# inc% | lift | q | source | name | cost | cmc | type | rarity | oracle

95.7 | 3.10 | 1 | deck | Peregrin Took | {2}{G} | 3 | Legendary Creature — Halfling Citizen | uncommon | If one or more tokens would be created under your control, those tokens plus an additional Food token are created instead. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Sacrifice three Foods: Draw a card.
93.8 | 3.37 | 1 | deck | Academy Manufactor | {3} | 3 | Artifact Creature — Assembly-Worker | rare | If you would create a Clue, Food, or Treasure token, instead create one of each.
88.3 | 3.11 | 1 | side+open | Gilded Goose | {G} | 1 | Creature — Bird | rare | Flying When this creature enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") {1}{G}, {T}: Create a Food token. {T}, Sacrifice a Food: Add one mana of any color.
83.3 | 2.59 | 1 | deck | Jaheira, Friend of the Forest | {2}{G} | 3 | Legendary Creature — Human Elf Druid | rare | Tokens you control have "{T}: Add {G}." Choose a Background (You can have a Background as a second commander.)
68.4 | 3.75 | 1 | deck | Sarinth Steelseeker | {1}{G} | 2 | Creature — Human Artificer Scout | uncommon | Whenever an artifact you control enters, look at the top card of your library. If it's a land card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard.
68.4 | 2.17 | 1 | deck | Second Harvest | {2}{G}{G} | 4 | Instant | rare | For each token you control, create a token that's a copy of that permanent.
65.7 | 3.51 | 1 | deck | Night of the Sweets' Revenge | {3}{G} | 4 | Enchantment | uncommon | When this enchantment enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Foods you control have "{T}: Add {G}." {5}{G}{G}, Sacrifice this enchantment: Creatures you control get +X/+X until end of turn, where X is the number of Foods you control. Activate only as a sorcery.
57.1 | 0.05 | 1 | side | Llanowar Elves | {G} | 1 | Creature — Elf Druid | common | {T}: Add {G}.
57.0 | 1.29 | 1 | deck | Tireless Provisioner | {2}{G} | 3 | Creature — Elf Scout | uncommon | Landfall — Whenever a land you control enters, create a Food token or a Treasure token. (Food is an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life." Treasure is an artifact with "{T}, Sacrifice this token: Add one mana of any color.")
53.4 | 0.13 | 1 | deck | Elvish Mystic | {G} | 1 | Creature — Elf Druid | common | {T}: Add {G}.
51.9 | 3.75 | 1 | deck | Displaced Dinosaurs | {5}{G}{G} | 7 | Creature — Dinosaur | uncommon | As a historic permanent you control enters, it becomes a 7/7 Dinosaur creature in addition to its other types. (Artifacts, legendaries, and Sagas are historic.)
49.2 | 2.49 | 1 | deck | Idol of Oblivion | {2} | 2 | Artifact | rare | {T}: Draw a card. Activate only if you created a token this turn. {8}, {T}, Sacrifice this artifact: Create a 10/10 colorless Eldrazi creature token.
