Meren of Clan Nel Toth — identity BG — 421 candidates (collection 719 names, reserved 156)
inc%  lift  mv  rank   $     mk  name | type | oracle
 87.0 +0.0   0      2   0.3  MF  Command Tower | Land | {T}: Add one mana of any color in your commander's color identity.
 82.6 +0.0   1      1   1.5  MF  Sol Ring | Art | {T}: Add {C}{C}.
 81.1 +1.0   2    107   0.3  MF  Sakura-Tribe Elder | Cr — Snake Shaman | Sacrifice this creature: Search your library for a basic land card, put that card onto the battlefield tapped,
 74.1 +1.3   3    115   2.6  MF  Eternal Witness | Cr — Human Shaman | When this creature enters, you may return target card from your graveyard to your hand.
 66.9 +1.3   3    128   1.4  MF  Victimize | Sorc | Choose two target creature cards in your graveyard. Sacrifice a creature. If you do, return the chosen cards t
 66.2 +1.3   1    255   0.4  MF  Viscera Seer | Cr — Vampire Wizard | Sacrifice a creature: Scry 1. (Look at the top card of your library. You may put that card on the bottom.)
 66.0 +0.0   0    114   0.4  MF  Woodland Cemetery | Land | This land enters tapped unless you control a Swamp or a Forest. {T}: Add {B} or {G}.
 62.6 +2.2   3    632   0.4  MF  Plaguecrafter | Cr — Human Shaman | When this creature enters, each player sacrifices a creature or planeswalker of their choice. Each player who 
 59.4 +2.2   3    356   3.4  MF  Buried Alive | Sorc | Search your library for up to three creature cards, put them into your graveyard, then shuffle.
 58.6 +0.0   0    137   0.5  MF  Llanowar Wastes | Land | {T}: Add {C}. {T}: Add {B} or {G}. This land deals 1 damage to you.
 58.4 +2.6   5    244   5.2      Gray Merchant of Asphodel | Cr — Zombie | When this creature enters, each opponent loses X life, where X is your devotion to black. You gain life equal 
 54.5 -0.1   2      3   0.5  MF  Arcane Signet | Art | {T}: Add one mana of any color in your commander's color identity.
 54.4 +0.9   2    138   1.7  MF  Blood Artist | Cr — Vampire | Whenever this creature or another creature dies, target player loses 1 life and you gain 1 life.
 54.2 +0.1   2    124   0.7  MF  Assassin's Trophy | Inst | Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, 
 52.3 +1.0   1     55  10.9  F   Reanimate | Sorc | Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to that
 52.3 +2.1   2    474   0.3  F   Accursed Marauder | Cr — Zombie Warrior | When this creature enters, each player sacrifices a nontoken creature of their choice.
 52.1 +0.8   2    233   0.9  MF  Zulaport Cutthroat | Cr — Human Rogue Ally | Whenever this creature or another creature you control dies, each opponent loses 1 life and you gain 1 life.
 50.9 +0.9   1    702   0.4  F   Haywire Mite | Art Cr — Insect | When this creature dies, you gain 2 life. {G}, Sacrifice this creature: Exile target noncreature artifact or n
 50.6 +1.1   0    433   0.5  MF  High Market | Land | {T}: Add {C}. {T}, Sacrifice a creature: You gain 1 life.
 48.0 +2.7   3   1134   3.3  F   Grim Haruspex | Cr — Human Wizard | Morph {B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph 
 47.3 +1.6   3    295   4.7  MF  Braids, Arisen Nightmare | L.Cr — Nightmare | At the beginning of your end step, you may sacrifice an artifact, creature, enchantment, land, or planeswalker
 45.7 +1.9   1    614   4.6  F   Carrion Feeder | Cr — Zombie | This creature can't block. Sacrifice a creature: Put a +1/+1 counter on this creature.
 45.5 +0.2   1     58   0.4  MF  Llanowar Elves | Cr — Elf Druid | {T}: Add {G}.
 43.8 +0.0   0     25   0.7  MF  Bojuka Bog | Land | This land enters tapped. When this land enters, exile target player's graveyard. {T}: Add {B}.
 42.3 -0.0   0    357   0.3  MF  Twilight Mire | Land | {T}: Add {C}. {B/G}, {T}: Add {B}{B}, {B}{G}, or {G}{G}.
 42.0 +1.4   5    252   0.8  MF  Syr Konrad, the Grim | L.Cr — Human Knight | Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battle
 39.1 +1.9   6    514   1.2  MF  Massacre Wurm | Cr — Phyrexian Wurm | When this creature enters, creatures your opponents control get -2/-2 until end of turn. Whenever a creature a
 37.0 +1.0   2   1260   0.4  MF  Wight of the Reliquary | Cr — Zombie Knight | Vigilance This creature gets +1/+1 for each creature card in your graveyard. {T}, Sacrifice another creature: 
 36.9 +2.5   4   1115   1.0  F   Ravenous Chupacabra | Cr — Beast Horror | When this creature enters, destroy target creature an opponent controls.
 34.7 +0.0   1    109   0.4  MF  Elvish Mystic | Cr — Elf Druid | {T}: Add {G}.
 34.4 +0.3   3     67   4.3  MF  Toxic Deluge | Sorc | As an additional cost to cast this spell, pay X life. All creatures get -X/-X until end of turn.
 33.9 +2.6   6   1306  23.6  MF  Mikaeus, the Unhallowed | L.Cr — Zombie Cleric | Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color wi
 32.2 -0.0   0    344   0.3  MF  Temple of Malady | Land | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put tha
 32.0 -0.2   0    526   0.3  MF  Necroblossom Snarl | Land | As this land enters, you may reveal a Swamp or Forest card from your hand. If you don't, this land enters tapp
 31.8 +1.7   4     38   0.3  MF  Solemn Simulacrum | Art Cr — Golem | When this creature enters, you may search your library for a basic land card, put that card onto the battlefie
 31.4 +0.5   2     13   4.7  F   Lightning Greaves | Art — Equipment | Equipped creature has haste and shroud. (It can't be the target of spells or abilities.) Equip {0}
 30.7 +0.7   3    257   0.3  MF  Morbid Opportunist | Cr — Human Rogue | Whenever one or more other creatures die, draw a card. This ability triggers only once each turn.
 30.2 +0.8   1    202   0.4  MF  Village Rites | Inst | As an additional cost to cast this spell, sacrifice a creature. Draw two cards.
 29.5 +0.2   5    955   0.3  MF  Moldervine Reclamation | Ench | Whenever a creature you control dies, you gain 1 life and draw a card.
 28.4 +2.4   7   1339   0.3  F   2x Butcher of Malakir | Cr — Vampire Warrior | Flying Whenever this creature or another creature you control dies, each opponent sacrifices a creature of the
 28.0 +0.1   4    577   0.4  MF  Culling Ritual | Sorc | Destroy each nonland permanent with mana value 2 or less. Add {B} or {G} for each permanent destroyed this way
 26.8 -0.4   3     20   0.4  MF  2x Cultivate | Sorc | Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped an
 25.9 +1.1   4   1845   4.9  F   Jarad, Golgari Lich Lord | L.Cr — Zombie Elf | Jarad gets +1/+1 for each creature card in your graveyard. {1}{B}{G}, Sacrifice another creature: Each opponen
 25.3 +2.4   5   1228   0.6  F   Junji, the Midnight Sky | L.Cr — Dragon Spirit | Flying, menace When Junji dies, choose one — • Each opponent discards two cards and loses 2 life. • Put target
 25.0 +0.5   0   2064   0.3  MF  Grim Backwoods | Land | {T}: Add {C}. {2}{B}{G}, {T}, Sacrifice a creature: Draw a card.
 24.6 +2.5   3   1048   0.2      Midnight Reaper | Cr — Zombie Knight | Whenever a nontoken creature you control dies, this creature deals 1 damage to you and you draw a card.
 22.2 -0.3   0      9    -       Exotic Orchard | Land | {T}: Add one mana of any color that a land an opponent controls could produce.
 21.6 -0.2   0    960   0.5  MF  Vernal Fen | Land — Swamp Forest | ({T}: Add {B} or {G}.) This land enters tapped unless you control two or more basic lands.
 21.2 +0.3   3   2452   3.0  MF  Cauldron of Essence | Art | Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life. {1}{B}{G}, {T}, Sacrific
 21.0 +0.0   0    779   0.1      Jungle Hollow | Land | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {B} or {G}.
 19.5 +0.1   2    131   0.3  MF  Deadly Dispute | Inst | As an additional cost to cast this spell, sacrifice an artifact or creature. Draw two cards and create a Treas
 19.4 +0.9   4    535   0.6  F   Dread Return | Sorc | Return target creature card from your graveyard to the battlefield. Flashback—Sacrifice three creatures. (You 
 19.1 +0.3   0   1529   2.8      Blooming Marsh | Land | This land enters tapped unless you control two or fewer other lands. {T}: Add {B} or {G}.
 18.7 -0.1   0     28   0.1      Terramorphic Expanse | Land | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then 
 18.4 +0.9   3   1674   0.3  F   Woe Strider | Cr — Horror | When this creature enters, create a 0/1 white Goat creature token. Sacrifice another creature: Scry 1. Escape—
 17.1 +0.7   2   1433   1.5      Insidious Roots | Ench | Creature tokens you control have "{T}: Add one mana of any color." Whenever one or more creature cards leave y
 15.7 +0.2   5   1656   0.3  MF  Mazirek, Kraul Death Priest | L.Cr — Insect Shaman | Flying Whenever a player sacrifices another permanent, put a +1/+1 counter on each creature you control.
 15.7 +1.2   3   2524   2.0  MF  Grave Researcher // Reanimate | Cr — Troll Warlock | At the beginning of your upkeep, surveil 1. Then if there are three or more creature cards in your graveyard, 
 15.5 -0.4   0    718   0.3  MF  Viridescent Bog | Land | {1}, {T}: Add {B}{G}.
 14.5 -0.2   2     23   0.4  MF  Farseek | Sorc | Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then sh
 14.5 +1.3   6    801   7.8  MF  Liliana, Dreadhorde General | L.Planeswalker — Liliana | Whenever a creature you control dies, draw a card. +1: Create a 2/2 black Zombie creature token. −4: Each play
 14.3 +0.4   3   1494   0.3      Awakening Zone | Ench | At the beginning of your upkeep, you may create a 0/1 colorless Eldrazi Spawn creature token. It has "Sacrific
 14.2 +0.0   2   1604   2.8      Golgari Charm | Inst | Choose one — • All creatures get -1/-1 until end of turn. • Destroy target enchantment. • Regenerate each crea
